Annual Income,Company,Model,Price ($),Body Style,Cluster
500000,27,87,21000,3,3
1700000,19,92,16000,4,1
860000,20,21,15000,1,3
13500,28,106,27000,1,0
2035000,28,106,13500,1,1
1372500,19,153,9250,2,1
1800000,8,99,31000,1,1
1250000,28,106,32000,1,1
1175000,29,122,29500,4,1
1100000,17,148,14000,2,1
1315000,19,66,18501,1,1
480000,0,113,17001,3,3
423500,18,97,12500,3,3
13500,2,7,21000,3,0
13500,2,7,62000,3,0
653000,8,47,11000,2,3
13500,19,66,20000,1,0
2862000,9,12,21200,4,2
2180000,27,30,29000,1,1
13500,4,57,17000,2,0
1500000,14,54,27000,1,1
1190000,29,122,36000,4,1
920000,15,101,19000,4,3
320000,19,66,18000,1,0
690000,5,109,15000,0,3
13500,27,142,24000,0,0
905000,19,134,16000,2,3
13500,8,47,29000,2,0
1180000,22,19,19000,1,1
800000,16,25,22000,3,3
1225000,7,149,23500,3,1
1200000,18,70,36000,2,1
13500,22,19,19000,1,0
1350000,27,142,53000,0,1
426000,4,58,28000,4,3
1447500,20,137,60750,4,1
770000,5,109,42000,0,3
1610000,4,57,31000,2,1
1540000,8,43,62000,4,1
1285000,16,120,39500,3,1
1400000,27,142,24001,0,1
1200000,16,23,15000,1,1
1720000,19,111,19000,3,1
600000,28,71,35000,0,3
457000,10,138,21000,3,3
2450000,19,14,20000,1,2
1975000,8,118,18500,1,1
860000,5,45,45000,3,3
944000,20,137,12000,4,3
1135000,5,109,21500,3,1
2210000,29,122,17000,4,2
316000,5,45,46000,3,0
1151000,27,44,41100,2,1
1385000,27,112,22500,1,1
700000,17,74,9000,3,3
1542000,5,35,20200,3,1
962000,19,92,59000,4,3
1290000,29,123,22000,3,1
2250000,26,104,57000,3,2
2155000,5,45,25500,3,1
13500,0,113,18000,3,0
13500,9,103,27000,2,0
807000,27,112,22000,1,3
825000,27,142,82000,1,3
720000,21,110,15000,1,3
850000,27,30,31000,1,3
1130000,28,106,13000,1,1
13500,28,28,17000,4,0
1370000,6,133,46000,4,1
1311000,8,151,19100,4,1
1280000,7,52,10000,3,1
2000000,15,42,42000,2,1
13500,18,51,18000,1,0
650000,27,36,25000,3,3
1290000,28,81,22000,2,1
13500,28,69,25000,3,0
911000,3,105,23000,1,3
1150000,28,81,33000,2,1
655000,20,137,25000,4,3
470000,9,12,43000,4,3
1180000,2,4,21001,4,1
1195000,22,19,11501,1,1
1420000,28,106,32000,1,1
13500,10,138,20000,3,0
13500,28,106,9000,1,0
916000,8,47,29000,2,3
592000,16,23,17000,1,3
750000,9,107,27000,1,3
1900000,9,103,54000,2,1
1410000,17,46,33000,1,1
1125000,9,107,27500,0,1
580000,27,36,14000,3,3
710000,5,29,41000,4,3
335000,8,143,22000,3,0
13500,8,64,24000,3,0
1012500,23,20,24250,3,3
970000,20,80,37000,3,3
1495000,14,86,54500,3,1
13500,6,133,46000,4,0
13500,7,139,37000,1,0
922000,7,149,26000,3,3
1130000,19,108,21000,1,1
13500,27,44,41000,2,0
1090000,19,111,12000,3,3
630100,7,139,25100,1,3
1350000,27,30,34000,1,1
1330000,20,15,34000,2,1
591000,18,97,39000,0,3
13500,17,46,33000,1,0
1030000,15,101,33000,4,3
13500,0,113,18000,3,0
927000,9,12,21000,4,3
840000,18,97,39000,3,3
730000,16,90,25000,3,3
770000,19,108,46000,3,3
1125000,5,93,13500,2,1
995000,7,49,21000,4,3
13500,10,138,13000,3,0
13500,8,143,43000,3,0
1100000,27,112,22000,1,1
13500,23,20,26000,3,0
13500,9,27,12000,3,0
910000,27,44,22000,2,3
1859000,19,108,21900,1,1
13500,28,18,45000,1,0
1200000,21,110,71000,1,1
13500,25,85,13000,1,0
1660000,17,148,14000,2,1
13500,5,93,13000,2,0
13500,24,6,28000,1,0
905000,16,129,14000,1,3
13500,19,153,31000,2,0
1152000,8,47,29200,2,1
550000,5,89,42000,2,3
13500,8,118,18000,0,0
936000,1,9,13000,3,3
580000,4,57,85000,2,3
1900000,22,140,43000,4,1
1605000,3,119,43500,2,1
13500,27,142,36000,3,0
603000,11,76,16000,3,3
700000,8,151,31000,4,3
600000,7,17,16000,2,3
500000,25,83,14000,4,3
420000,7,52,24000,3,3
500000,7,115,39000,3,3
1035000,0,141,14500,1,3
960000,29,123,20000,3,3
2345000,19,108,16500,0,2
512000,28,106,31000,1,3
820000,2,7,21000,3,3
1050000,18,51,21000,1,3
1326000,27,112,85600,1,1
1800000,7,31,23000,0,1
730000,2,3,21000,1,3
880000,18,1,24000,4,3
925000,7,117,22000,2,3
480000,28,69,25000,3,3
1835000,21,102,22500,3,1
13500,13,152,19000,1,0
13500,21,102,27000,3,0
13500,14,84,18000,4,0
13500,21,150,75000,2,0
1635000,21,110,71500,1,1
1705000,25,125,61500,1,1
1005000,18,51,21500,1,3
920000,14,84,25000,4,3
840000,16,25,29000,3,3
728000,14,68,12000,1,3
980000,7,31,23000,0,3
1900000,18,51,19000,1,1
1325000,22,19,19500,1,1
1200000,18,51,21000,1,1
13500,19,66,20000,1,0
610000,18,97,29001,0,3
1415000,1,9,25500,3,1
685000,7,31,19000,0,3
637000,0,113,24000,3,3
570000,7,115,20000,0,3
926000,3,119,19000,2,3
610000,20,80,37000,3,3
700000,16,128,17000,2,3
1525000,3,105,29500,1,1
1900000,14,84,46000,4,1
960000,0,78,45000,2,3
720000,8,99,25000,1,3
13500,8,118,25000,0,0
715000,5,35,14000,3,3
852000,16,128,19000,2,3
690000,5,89,12000,2,3
1030000,0,113,17000,3,3
3200000,6,82,26000,1,2
13500,27,136,27000,2,0
13500,13,152,19000,1,0
785000,18,97,29000,3,3
725000,16,23,14000,1,3
450000,4,57,60000,2,3
515000,23,20,14000,3,3
840500,7,17,22500,2,3
810000,18,51,22000,1,3
1600000,29,24,24000,1,1
1325000,9,12,43500,4,1
13500,27,30,29000,1,0
13500,22,75,42000,2,0
2120000,13,73,19000,3,1
405000,27,36,14000,3,3
1450000,15,42,18000,2,1
550000,19,153,9000,2,3
380000,16,127,26000,0,0
2830000,8,62,13000,2,2
13500,23,20,24000,3,0
454000,16,128,46000,2,3
562000,17,131,39000,4,3
1000000,0,141,24000,1,3
680000,22,75,19000,2,3
530000,17,148,28001,2,3
895000,20,137,60001,4,3
600000,17,46,22001,1,3
805000,2,3,22001,1,3
3150000,21,102,22000,3,2
1285000,18,51,21500,1,1
685000,27,5,25000,4,3
878000,16,120,85000,3,3
957000,18,1,21000,4,3
2100000,0,113,24000,3,1
13500,1,10,44000,2,0
1435000,4,57,31500,2,1
1020000,16,128,46000,2,3
1041000,8,62,22100,2,3
2260000,13,73,21000,3,2
13500,9,12,14000,4,0
13500,2,4,18000,4,0
2060000,28,28,16000,4,1
1650000,22,140,18000,4,1
985000,29,24,36000,1,3
820000,16,120,10000,3,3
591000,18,97,45000,0,3
800000,20,80,45000,3,3
1501000,7,49,21100,4,1
760000,0,141,28001,1,3
1200000,28,69,25000,3,1
565000,6,2,26000,3,3
13500,20,137,15000,4,0
13500,11,76,21000,0,0
752000,14,68,31001,1,3
580000,13,73,21001,3,3
725000,16,25,22001,3,3
758000,28,81,38000,2,3
440000,6,2,26000,3,3
970000,17,100,29000,2,3
755000,14,68,31000,1,3
13500,19,14,21000,1,0
862000,8,43,62000,4,3
1236000,18,70,36600,2,1
13500,8,47,20000,2,0
1750000,19,66,53000,1,1
1005000,18,55,27500,0,3
2010000,0,113,31000,3,1
2250000,21,102,27000,3,2
900000,5,95,44000,1,3
800000,15,101,19000,4,3
1135000,18,97,53500,1,1
1490000,20,80,45000,3,1
13500,22,19,20000,1,0
1230000,8,151,19000,4,1
1650000,28,69,25000,3,1
13500,21,110,16000,1,0
685000,6,41,42000,0,3
561000,16,129,33000,1,3
13500,8,60,26000,3,0
830000,7,52,19000,3,3
424000,4,57,31000,2,3
1663000,26,104,49300,3,1
1415000,26,65,17500,0,1
13500,29,124,25000,4,0
660000,20,80,45000,3,3
13500,28,69,25000,3,0
13500,5,95,17000,1,0
663500,16,120,21500,3,3
985000,8,60,26001,3,3
700000,26,65,22001,3,3
509500,24,0,23501,4,3
830000,25,125,61000,3,3
462500,25,85,13500,1,3
670000,7,52,24000,3,3
675000,18,1,24000,4,3
1042000,5,95,21200,1,3
1560000,17,98,21000,0,1
830000,25,125,33000,0,3
1480000,16,120,21000,3,1
1682000,2,3,9200,1,1
13500,17,74,16000,3,0
13500,2,7,29000,3,0
13500,18,70,36000,2,0
13500,2,7,62000,3,0
1050000,13,38,14000,4,3
13500,28,106,12000,1,0
1005000,23,33,26500,1,3
1316500,6,2,22650,3,1
1045000,7,115,57500,1,3
1495000,16,23,15500,1,1
1126000,17,131,39600,4,1
1320000,20,137,25000,4,1
1750000,27,36,14000,3,1
995000,0,141,24000,1,3
1320000,18,51,12000,1,1
350000,27,44,14000,2,0
1250000,29,122,42000,4,1
1275000,1,8,12500,0,1
975000,3,105,61000,1,3
13500,6,41,46000,0,0
1631000,4,34,28100,1,1
1260000,11,76,22000,0,1
2450000,17,74,49000,3,2
399000,2,7,14000,3,3
1240000,29,124,21000,4,1
727500,2,3,9500,1,3
13500,21,150,20000,2,0
965000,29,147,39000,2,3
910000,7,52,22000,3,3
773000,14,68,31000,1,3
715000,2,7,29000,3,3
13500,20,48,15000,4,0
13500,21,150,20000,2,0
915000,22,75,19000,2,3
822000,23,33,22000,1,3
770000,14,68,12000,1,3
13500,27,44,14000,2,0
494000,25,130,25000,2,3
580000,29,24,17000,1,3
825000,21,22,39000,0,3
2530000,6,133,19000,4,2
1930000,19,108,16000,1,1
840000,6,82,21000,1,3
810000,5,29,41000,4,3
715000,4,58,26000,4,3
790000,28,106,9000,1,3
781000,27,36,14000,3,3
1627000,23,33,16700,0,1
13500,7,116,15000,1,0
13500,28,106,27000,1,0
13500,8,60,41000,3,0
13500,7,52,31000,3,0
1160000,4,50,22000,3,1
325000,12,121,45000,2,0
745000,19,108,21000,0,3
560000,18,51,49000,1,3
13500,14,84,54000,4,0
900000,5,95,21000,1,3
460000,10,138,20000,3,3
540000,16,127,17000,3,3
875000,12,121,27000,2,3
13500,4,50,22000,3,0
13500,18,51,12000,1,0
890000,5,45,25000,3,3
2350000,8,43,62000,4,2
13500,28,81,22000,2,0
680500,2,4,69500,4,3
902000,27,142,36000,1,3
825000,15,42,18001,2,3
685000,8,64,17000,3,3
1300000,15,101,33000,4,1
595000,6,133,12000,4,3
1190000,4,135,22000,1,1
1100000,7,31,19000,1,1
13500,11,76,21000,0,0
752000,29,123,20000,0,3
825000,8,99,22000,1,3
801000,5,93,12000,2,3
445000,22,19,20000,1,3
1430000,7,52,19000,3,1
765000,25,125,61000,1,3
760000,2,4,16000,4,3
668500,0,78,45500,2,3
805000,27,30,31000,1,3
510000,14,84,27000,4,3
1006000,5,109,15601,0,3
480000,5,45,45000,3,3
860000,18,97,53000,1,3
835000,28,28,17000,4,3
815000,26,104,57000,3,3
505000,3,105,62000,1,3
1165000,6,41,42500,1,1
390000,7,79,11000,4,3
612000,5,89,26000,2,3
662000,16,26,22000,4,3
13500,22,72,12000,3,0
965000,3,88,20000,4,3
881000,7,115,16000,1,3
850000,15,145,18000,1,3
580000,8,143,69000,3,3
603000,5,35,20000,3,3
890500,21,22,22500,1,3
13500,5,35,14000,3,0
978000,20,137,34000,4,3
13500,8,61,41000,1,0
720000,8,151,17000,4,3
474000,22,72,19000,3,3
490000,6,133,46000,4,3
2380000,24,6,28000,1,2
1035000,0,113,18500,3,3
975000,6,82,21000,1,3
13500,2,3,19000,1,0
556000,7,139,31000,1,3
900000,18,51,18000,1,3
1300000,22,75,19000,2,1
1250000,22,75,19000,2,1
13500,16,90,25000,1,0
760000,5,109,22000,1,3
1220000,0,141,28000,1,1
1238000,17,74,16800,3,1
13500,6,41,42000,0,0
1480000,7,79,11000,4,1
13500,19,92,22000,4,0
1310000,8,143,43000,3,1
458000,8,64,17000,1,3
1442000,9,27,22200,3,1
2200000,5,109,16000,1,2
13500,28,106,27000,1,0
405000,25,83,45000,4,3
715000,18,1,20001,4,3
875000,14,84,27000,4,3
670000,0,113,17000,3,3
690000,15,145,33000,1,3
1600000,3,105,29000,1,1
13500,7,17,22000,2,0
1340000,5,45,22000,3,1
750000,7,149,26000,3,3
13500,1,8,12000,1,0
671500,27,136,39501,2,3
765000,15,101,19001,4,3
900000,19,108,21001,3,3
820000,17,148,16000,2,3
650000,6,41,12000,3,3
552000,6,132,16000,3,3
1275000,10,138,20500,3,1
715000,9,12,14000,4,3
670100,27,36,14100,3,3
575000,18,97,12001,0,3
575000,18,1,19000,4,3
1703000,0,113,34300,3,1
840000,27,142,36000,0,3
13500,26,65,26000,0,0
13500,21,150,22000,2,0
13500,8,61,41000,1,0
1900000,5,93,31000,2,1
13500,17,74,19000,3,0
1911000,18,51,25100,1,1
1922000,14,67,51200,2,1
13500,2,3,19000,1,0
13500,23,33,26000,0,0
13500,5,91,14000,0,0
670000,7,79,11000,4,3
2200000,10,56,26000,4,2
13500,18,51,19000,1,0
2385000,14,68,31500,1,2
1935000,23,32,32500,2,1
13500,6,41,46000,1,0
560000,6,82,26000,1,3
340000,29,24,82000,1,0
1101000,27,136,19100,2,1
13500,6,82,26000,1,0
870000,2,7,29000,3,3
13500,4,50,69000,3,0
2850000,20,15,24000,2,2
1850000,6,82,16000,1,1
13500,8,64,49000,3,0
840500,26,104,49500,3,3
876000,2,7,31000,3,3
1995000,21,102,27500,3,1
1850000,0,141,21000,1,1
2000000,22,63,43000,1,1
700000,1,9,15000,3,3
13500,7,116,31000,1,0
757500,17,131,61500,4,3
13500,27,87,21000,3,0
420000,19,108,31000,1,3
643500,2,4,16500,4,3
625000,8,47,29000,2,3
1436000,18,1,20600,4,1
13500,14,86,22000,3,0
1110000,2,7,31000,3,1
1550000,8,61,42000,1,1
2300000,1,9,24000,3,2
13500,6,133,22000,4,0
1550000,4,57,37000,2,1
1800000,7,117,22000,2,1
2485000,25,125,33500,3,2
2120000,29,24,49001,1,1
1800000,20,137,25001,4,1
1800000,18,1,39001,4,1
13500,6,2,26001,3,0
1810000,27,112,85001,1,1
2615000,16,128,26501,2,2
2100000,19,108,22001,3,1
13500,5,89,12000,2,0
1800000,5,45,26000,3,1
600000,28,81,33000,2,3
797000,7,52,19000,3,3
3001000,29,146,18100,3,2
752000,22,140,43000,4,3
685000,18,96,16000,3,3
13500,17,131,39000,4,0
670000,18,1,21000,4,3
705500,14,68,53500,1,3
685000,0,113,17000,3,3
13500,5,109,16000,0,0
511500,24,0,26500,4,3
13500,14,54,27000,0,0
645000,6,2,16000,3,3
13500,17,74,16000,3,0
1890000,6,144,17000,4,1
1565000,23,33,22500,1,1
1630000,20,137,26000,4,1
13500,7,115,19000,1,0
13500,8,151,31000,4,0
800000,17,131,39000,4,3
13500,27,87,21000,3,0
1025000,3,105,62500,1,3
13500,23,33,16000,1,0
13500,16,120,18000,3,0
13500,14,54,34000,1,0
1670000,20,137,26000,4,1
13500,16,120,10000,3,0
1305000,5,109,25500,1,1
1725000,23,32,20500,2,1
1110000,20,15,24000,2,1
13500,17,148,14000,2,0
1760000,19,66,18000,1,1
1325000,0,113,17500,3,1
2000000,16,90,25000,0,1
355000,2,7,21000,3,0
1400000,4,58,28000,4,1
456000,20,137,60000,4,3
546000,10,138,21000,3,3
13500,5,91,57000,0,0
615000,17,74,9000,3,3
340000,5,35,20000,3,0
790000,19,92,29000,4,3
1715157,5,109,15510,0,1
13500,28,81,22000,2,0
1095000,9,12,43500,4,3
851500,2,4,21500,4,3
610000,25,126,20000,3,3
565000,8,143,12000,3,3
572000,2,3,9000,1,3
1090000,19,14,20000,1,3
455000,8,61,42000,1,3
750000,22,140,28000,4,3
850000,14,68,12000,1,3
640000,22,19,36000,1,3
13500,25,83,14000,4,0
1030000,7,149,23000,3,3
600000,8,118,18000,1,3
13500,16,120,14000,3,0
13500,16,23,12000,1,0
386000,15,145,17000,1,0
857000,5,91,16000,1,3
13500,9,12,19000,4,0
1300000,29,24,17001,1,1
1370000,21,22,22001,3,1
701000,29,122,17000,4,3
810000,20,137,34000,4,3
894000,14,84,54000,4,3
13500,27,142,53000,1,0
920000,22,19,11000,1,3
895000,27,142,53000,0,3
1160000,28,106,13000,1,1
13500,11,76,22000,1,0
1000000,1,9,14001,3,3
13500,18,51,49000,1,0
2575000,27,112,27501,1,2
1322500,28,81,16251,2,1
1000000,22,140,43000,4,3
13500,16,53,15000,4,0
13500,5,93,12000,2,0
13500,25,83,51000,4,0
1402000,23,20,14200,3,1
1500000,0,113,24000,3,1
13500,10,56,22000,4,0
1100000,16,120,21000,3,1
865000,23,20,24000,3,3
725000,20,80,37000,3,3
1300000,15,101,33000,4,1
911000,0,113,18000,3,3
1235000,21,22,39500,1,1
752500,22,19,19500,1,3
13500,5,45,25000,3,0
13500,3,119,19000,2,0
13500,29,123,26001,3,0
1562500,20,137,26251,4,1
2000000,28,106,9000,1,1
13500,20,15,34000,2,0
13500,18,51,19000,1,0
1900000,28,69,25000,3,1
3010000,5,45,25000,3,2
13500,1,9,14000,3,0
13500,0,113,18000,3,0
1265000,5,109,42500,0,1
13500,8,60,41000,3,0
1390000,19,108,16000,0,1
13500,16,128,17000,2,0
3600000,7,17,39000,2,2
13500,17,148,28000,2,0
815000,18,51,21000,1,3
2000000,28,106,13000,1,1
710000,28,18,45000,1,3
620000,5,91,14000,1,3
13500,26,65,26000,1,0
830000,10,138,21000,3,3
1105000,7,52,10500,3,1
1303000,18,97,29300,1,1
13500,7,116,60000,1,0
975000,9,12,21000,4,3
2365000,11,76,49500,0,2
1940000,28,71,35000,0,1
1302500,26,65,22250,0,1
1420200,7,31,19020,0,1
13500,5,109,25000,0,0
13500,8,151,31000,4,0
460000,7,17,16000,2,3
565000,8,61,22000,1,3
500000,16,25,22000,3,3
610000,5,35,20000,3,3
445000,6,41,12000,1,3
13500,28,106,21000,1,0
801000,16,90,18000,1,3
350000,8,60,18000,3,0
525000,20,21,26000,1,3
2800000,8,59,15000,2,2
13500,14,86,15001,3,0
647000,14,68,31000,1,3
920000,8,61,41000,1,3
1140000,29,24,17000,1,1
1172500,25,85,18250,1,1
1285000,20,15,24500,2,1
13500,5,45,46000,3,0
1375000,24,0,23500,4,1
950000,25,83,14000,4,3
2440000,7,52,24000,3,2
490000,5,91,21000,0,3
517500,18,51,19500,1,3
365000,16,128,17000,2,0
460000,19,108,21000,1,3
13500,1,8,12000,3,0
2100000,7,31,23000,3,1
1473000,20,137,12300,4,1
467000,21,110,15000,1,3
1300000,27,112,22000,1,1
1286000,17,46,22600,1,1
770000,0,141,14000,1,3
13500,6,41,46000,0,0
1725000,20,48,41500,4,1
646000,2,7,14000,3,3
13500,7,149,41000,3,0
13500,8,60,18000,3,0
13500,20,13,17000,3,0
2000000,15,42,82000,2,1
2302000,18,97,42200,0,2
13500,7,115,16001,0,0
607000,29,123,21000,0,3
465000,20,80,45000,3,3
1920000,15,145,17000,1,1
1968500,25,83,51850,4,1
782000,14,68,25000,1,3
845000,9,27,39000,3,3
704000,0,78,45000,2,3
601000,8,99,25000,1,3
1215000,21,22,16500,0,1
460000,16,23,14000,1,3
1190000,29,123,24000,1,1
635500,15,42,42500,2,3
580000,21,150,20000,2,3
413000,10,138,21000,3,3
442500,5,91,82500,3,3
4735000,6,2,22500,3,2
1340000,6,82,26000,1,1
1801000,10,138,15100,3,1
1532000,3,105,45200,1,1
440000,22,72,12000,3,3
750000,4,135,44001,0,3
13500,22,140,43000,4,0
625000,20,21,36000,1,3
13500,18,55,12001,0,0
1107000,15,42,20700,2,1
641500,9,12,43500,4,3
725000,21,110,27000,1,3
825000,27,112,28000,1,3
13500,5,95,44000,1,0
680000,4,57,60000,2,3
622000,23,20,14000,3,3
13500,22,75,19000,2,0
412500,17,148,28500,2,3
465000,20,137,60000,4,3
420000,20,48,46000,4,3
650000,6,82,51000,1,3
525000,1,9,13000,3,3
780000,6,133,21000,4,3
765000,8,99,31000,1,3
3755000,7,115,19500,3,2
2140000,8,60,34000,3,1
1810000,20,137,39000,4,1
745000,0,113,26000,3,3
500000,28,18,45001,0,3
722500,14,67,51500,2,3
1515000,9,27,31500,3,1
13500,15,101,19000,4,0
986000,19,66,26000,1,3
720008,17,46,22000,1,3
730000,2,3,22000,1,3
1188000,0,141,28800,1,1
1420000,28,106,12000,1,1
2100000,6,82,26000,1,1
1385000,14,86,22500,3,1
1750000,27,142,53001,3,1
421000,17,74,16000,3,3
13500,28,81,69000,2,0
13500,14,68,31000,1,0
417000,18,1,19000,4,3
980000,5,109,25000,3,3
13500,18,97,53000,3,0
13500,26,65,23000,3,0
13500,17,74,19000,3,0
2030000,15,42,42000,2,1
1740000,18,51,21000,1,1
2800000,7,115,20000,3,2
985000,9,107,26000,3,3
13500,10,138,15000,3,0
2000000,18,1,24000,4,1
335000,5,91,14001,0,0
751000,7,115,19000,0,3
13500,16,26,22000,4,0
1720000,9,40,25000,1,1
415000,29,123,32000,0,3
13500,18,94,9000,3,0
550000,11,76,51000,0,3
286000,7,117,22000,2,0
13500,2,4,41000,4,0
1375000,4,34,75500,1,1
830000,8,99,22000,1,3
13500,29,124,21000,4,0
767000,6,133,21000,4,3
1860000,8,118,18000,1,1
1262500,16,23,17250,1,1
13500,20,137,60000,4,0
1200000,21,102,27000,3,1
1175000,9,12,21500,4,1
1225000,4,57,29500,2,1
1261000,28,81,22100,2,1
630000,13,73,21000,3,3
905000,16,25,22000,3,3
825000,28,81,38000,2,3
600000,6,2,26000,3,3
1750000,17,100,29000,2,1
450000,14,68,31000,1,3
397000,8,60,26000,3,3
2337000,25,125,12700,0,2
1370000,24,0,23000,4,1
695000,18,55,12000,0,3
13500,8,143,43000,3,0
810000,6,2,16000,3,3
451500,18,97,42500,1,3
526000,25,130,25000,2,3
605500,5,35,20500,3,3
500000,0,141,24000,1,3
427500,18,51,22500,1,3
